%% full_name:  Big Combination
%% short_name: Big
farstad                 188.958         1949-02-05/2    davos
                        0:41.8  8:15.4  2:13.9  17:39.7
sakunenko               184.638         1955-01-09/2    medeo
                        0:42.6  7:54.9  2:13.0  16:44.3
traub                   184.490         1963-01-19/2    madonna
                        0:43.1  8:12.1  2:09.3  16:21.6
johannesen              183.055         1963-01-19/2    hamar
                        0:43.3  7:47.1  2:13.8  16:08.5
aaness                  180.560         1963-01-26/2    bislett
                        0:41.6  7:42.8  2:10.8  16:21.6
nilsson_johnny          178.447         1963-02-23/2    karuizawa
                        0;43.0  7:34.3  2:10.1  15:33.0
maier                   178.253         1966-02-05/2    bislett
                        0:43.6  7:33.1  2:08.2  15:32.2
verkerk                 178.058         1967-02-11/2    bislett
                        0:42.1  7:30.4  2:10.0  15:51.7
stiansen                176.982         1968-01-13/2    madonna
                        0:41.8  7:27.6  2:07.7  15:57.1
traub                   176.717         1968-01-20/2    inzell
                        0:41.7  7:40.2  2:07.7  15:42.6
maier                   176.340         1968-02-24/2    goteborg
                        0:42.7  7.25.00 2.08.40 15.26.80
verkerk                 172.058         1968-03-09/2    inzell
                        0:40.4  7.19.9  2.03.7  15.28.7
claeson                 171.758         1969-03-01/2    inzell
                        0:40.2  7:17.0  2:05.2  15:22.5
bols                    171.512         1970-03-07/2    inzell
                        0:40.51 7:19.8  2:04.4  15:11.1
schenk                  171.317         1971-01-09/2    bislett
                        0:40.29 7:25.9  2:02.3  15:13.4
schenk                  171.130         1971-02-13/2    goteborg
                        0:40.57 7:18.8  2:04.8  15:01.6
schenk                  168.248         1971-03-13/2    inzell
                        0:39.82 7:12.0  2:01.3  14:55.9
schenk                  167.420         1972-03-04/2    inzell
                        0:39.0  7:09.8  1:58.8  15:16.8
kleine                  165.884         1976-03-12/2    inzell
                        0:40.69 7:02.38 1:56.28 14:43.92
storholt                163.221         1977-03-19/2    medeo
                        0:38.07 7:01.16 1:55.18 14:52.84
heiden_eric             162.973         1979-02-10/2    bislett
                        0:38.22 6:59.15 1:56.05 14:43.11
shasherin               161.550         1983-03-25/2    medeo
                        0:37.63 6:55.43 1:54.36 14:45.14
shasherin               160.807         1984-03-23/2    medeo
                        0:38.04 6:49.15 1:53.80 14:38.39
gulyayev_nikolay        159.356         1987-02-14/2    thialf
                        0:37.24 6:51.28 1:52.70 14:28.45
koss                    157.396         1991-02-09/2    thialf
                        0:38.46 6:41.73 1:52.76 13:43.54
sighel                  157.150         1992-03-21/2    calgary
                        0:37.38 6:43.91 1:52.38 13:58.39
zandstra                156.882         1993-01-22/2    thialf
                        0:37.90 6:40.01 1:52.90 13:46.96
ritsma                  156.201         1994-01-07/3    hamar
                        0:37.30 6:39.46 1:51.60 13:55.11
shirahata               155.966         1998-01-02/2    nagano
                        0:37.78 6:37.80 1:50.91 13:48.72
postma                  153.367         1998-03-13/3    thialf
                        0:36.48 6:33.09 1:48.85 13:45.91
ritsma                  152.651         1999-02-06/2    hamar
                        0:36.51 6:30.38 1:48.69 13:37.47
uytdehaage              152.482         2002-03-15/3    thialf
                        0:36.59 6:30.27 1:49.51 13:27.25
tuitert                 151.691         2004-01-09/3    thialf
                        0:36.18 6:27.63 1:47.41 13:38.91
hedrick                 150.478         2004-02-07/2    hamar
                        0:36.49 6:20.69 1:47.51 13:21.67
davis                   149.359         2005-01-08/2    salt_lake_city
                        0:35.85 6:24.21 1:43.33 13:32.90
hedrick                 148.799         2006-01-21/2    calgary
                        0:36.23 6:16.93 1:44.92 13:18.06
davis                   145.742         2006-03-18/2    calgary
                        0:35.17 6:10.49 1:42.68 13:05.94
roest                   145.561         2019-03-01/2    calgary
                        0:35.74 6:08.27 1:43.31 12:51.17
